app,category,user name,first name,last name,email address,phone number,password,from location,to location,street,apt,city,zip
com.contextlogic.wish,shopping,,Kenneth,Adams,debaxat847@ezgiant.com,201256658,Debaxat847!,"houston, texas","Paris, France",Duquesne Street,B,Millwall,21125
com.spotify.music,music,vaveb94784,,,karof16099@breazeim.com,5556669988,Karof16099!,,,,,,0
flipboard.app,news,vaveb94784,,,cigolis174@fandua.com,0,Cigolis174!,,,,,,0
com.naver.linewebtoon,reading,,,,vaveb94784@laserlip.com,0,Vaveb94784!,,,,,,0
wp.wattpad,reading,bikasof491,Wogem,Ekchin,bikasof491@jobsfeel.com,5556669988,Bikasof491!,"Dallas, Texas","Walcot, Texas",Myrida Ave,34,Walcot,55214
com.merriamwebster,study,myriamdolores,Myriam,Dolores,myriamdolores@gmail.com,554112225,Myriamdolores!23,Rhode Island,Nevada,Duquesne Street,882,Earlhampton,33424
com.trivago,travel,cilini1085,,,cilini1085@ezgiant.com,0,Cilini1085!23,New portsmouth,Maine,Arale street,4B,Murgane,25546
com.tripadvisor.tripadvisor,travel,myriamdolores,Myriam,Dolores,xofopof702@aosod.com,0,Xofopof702!,Mulholland drive,Maine,Arale street,5B,Murgane,25547
com.autoscout24,car,,,,,0,,,,,,,0
com.google.android.youtube,misc,,,,,0,,,,,,,0
com.accuweather.android,travel,vaveb94784@laserlip.com,Salem,Lab1,debaxat847@ezgiant.com,554112225,Debaxat847!,"houston, texas",Maine,Duquesne Street,45,Roadhouse Center,22145
com.naver.linewebtoon,study,vaveb94784@laserlip.com,Caleb,Lab2,debaxat847@ezgiant.com,554112226,Debaxat847!,"houston, texas",Maine,Duquesne Street,46,Roadhouse Center,22146
com.duolingo,study,vaveb94784@laserlip.com,Ali,Lab3,debaxat847@ezgiant.com,554112227,Debaxat847!,"houston, texas",Maine,Duquesne Street,47,Roadhouse Center,22147
